name,link
Moonraker,https://www.the-numbers.com/movie/Moonraker#tab=summary
Alien,https://www.the-numbers.com/movie/Alien-(1979)#tab=summary
Rocky 2,https://www.the-numbers.com/movie/Rocky-2#tab=summary
Star Trek: The Motion Picture,https://www.the-numbers.com/movie/Star-Trek-The-Motion-Picture#tab=summary
Kramer vs. Kramer,https://www.the-numbers.com/movie/Kramer-vs-Kramer#tab=summary
1941,https://www.the-numbers.com/movie/1941#tab=summary
The Amityville Horror,https://www.the-numbers.com/movie/Amityville-Horror-The#tab=summary
Apocalypse Now,https://www.the-numbers.com/movie/Apocalypse-Now#tab=summary
The Muppet Movie,https://www.the-numbers.com/movie/Muppet-Movie-The#tab=summary
The Jerk,https://www.the-numbers.com/movie/Jerk-The#tab=summary
Dawn of the Dead,https://www.the-numbers.com/movie/Dawn-of-the-Dead-(1979)#tab=summary
10,https://www.the-numbers.com/movie/10#tab=summary
The Deer Hunter,https://www.the-numbers.com/movie/Deer-Hunter-The#tab=summary
Love at First Bite,https://www.the-numbers.com/movie/Love-at-First-Bite#tab=summary
Escape from Alcatraz,https://www.the-numbers.com/movie/Escape-from-Alcatraz#tab=summary
Meatballs,https://www.the-numbers.com/movie/Meatballs#tab=summary
The Electric Horseman,https://www.the-numbers.com/movie/Electric-Horseman-The#tab=summary
Manhattan,https://www.the-numbers.com/movie/Manhattan#tab=summary
The In-Laws,https://www.the-numbers.com/movie/In-Laws-The-(1979)#tab=summary
Starting Over,https://www.the-numbers.com/movie/Starting-Over#tab=summary
All That Jazz,https://www.the-numbers.com/movie/All-That-Jazz#tab=summary
The Black Stallion,https://www.the-numbers.com/movie/Black-Stallion-The#tab=summary
The Main Event,https://www.the-numbers.com/movie/Main-Event-The#tab=summary
The Black Hole,https://www.the-numbers.com/movie/Black-Hole-The#tab=summary
The China Syndrome,https://www.the-numbers.com/movie/China-Syndrome-The#tab=summary
...And Justice For All,https://www.the-numbers.com/movie/And-Justice-For-All#tab=summary
The Champ,https://www.the-numbers.com/movie/Champ-The#tab=summary
Being There,https://www.the-numbers.com/movie/Being-There#tab=summary
Chapter Two,https://www.the-numbers.com/movie/Chapter-Two#tab=summary
Going in Style,https://www.the-numbers.com/movie/Going-in-Style-(1979)#tab=summary
The Rose,https://www.the-numbers.com/movie/Rose-The#tab=summary
The Wanderers,https://www.the-numbers.com/movie/Wanderers-The#tab=summary
Prophecy,https://www.the-numbers.com/movie/Prophecy#tab=summary
The Warriors,https://www.the-numbers.com/movie/Warriors-The#tab=summary
Norma Rae,https://www.the-numbers.com/movie/Norma-Rae#tab=summary
The Bermuda Triangle,https://www.the-numbers.com/movie/Bermuda-Triangle-The#tab=summary
Dracula,https://www.the-numbers.com/movie/Dracula-(1979)#tab=summary
Life of Brian,https://www.the-numbers.com/movie/Life-of-Brian-(UK)-(1979)#tab=summary
A Force of One,https://www.the-numbers.com/movie/Force-of-One-A#tab=summary
Breaking Away,https://www.the-numbers.com/movie/Breaking-Away#tab=summary
North Dallas Forty,https://www.the-numbers.com/movie/North-Dallas-Forty#tab=summary
The Seduction of Joe Tynan,https://www.the-numbers.com/movie/Seduction-of-Joe-Tynan-The#tab=summary
Hair,https://www.the-numbers.com/movie/Hair#tab=summary
The Concorde: Airport '79,https://www.the-numbers.com/movie/Concorde-Airport-79-The#tab=summary
Time After Time,https://www.the-numbers.com/movie/Time-After-Time#tab=summary
The Frisco Kid,https://www.the-numbers.com/movie/Frisco-Kid-The#tab=summary
