name,link
Jurassic Park,https://www.the-numbers.com/movie/Jurassic-Park#tab=summary
Mrs. Doubtfire,https://www.the-numbers.com/movie/Mrs-Doubtfire#tab=summary
The Fugitive,https://www.the-numbers.com/movie/Fugitive-The#tab=summary
Schindlerâs List,https://www.the-numbers.com/movie/Schindlers-List#tab=summary
The Firm,https://www.the-numbers.com/movie/Firm-The#tab=summary
Indecent Proposal,https://www.the-numbers.com/movie/Indecent-Proposal#tab=summary
Cliffhanger,https://www.the-numbers.com/movie/Cliffhanger#tab=summary
Sleepless in Seattle,https://www.the-numbers.com/movie/Sleepless-in-Seattle#tab=summary
Philadelphia,https://www.the-numbers.com/movie/Philadelphia#tab=summary
The Pelican Brief,https://www.the-numbers.com/movie/Pelican-Brief-The#tab=summary
In the Line of Fire,https://www.the-numbers.com/movie/In-the-Line-of-Fire#tab=summary
Demolition Man,https://www.the-numbers.com/movie/Demolition-Man#tab=summary
Cool Runnings,https://www.the-numbers.com/movie/Cool-Runnings#tab=summary
Free Willy,https://www.the-numbers.com/movie/Free-Willy#tab=summary
Sommersby,https://www.the-numbers.com/movie/Sommersby#tab=summary
Last Action Hero,https://www.the-numbers.com/movie/Last-Action-Hero#tab=summary
Hot Shots! Part Deux,https://www.the-numbers.com/movie/Hot-Shots-Part-Deux#tab=summary
Dennis the Menace,https://www.the-numbers.com/movie/Dennis-the-Menace#tab=summary
Sliver,https://www.the-numbers.com/movie/Sliver#tab=summary
Made In America,https://www.the-numbers.com/movie/Made-In-America#tab=summary
The Nightmare Before Christmas,https://www.the-numbers.com/movie/Nightmare-Before-Christmas-The#tab=summary
Groundhog Day,https://www.the-numbers.com/movie/Groundhog-Day#tab=summary
Grumpy Old Men,https://www.the-numbers.com/movie/Grumpy-Old-Men#tab=summary
The Remains of the Day,https://www.the-numbers.com/movie/Remains-of-the-Day-The#tab=summary
Dave,https://www.the-numbers.com/movie/Dave#tab=summary
Rising Sun,https://www.the-numbers.com/movie/Rising-Sun#tab=summary
Sister Act 2 Back in the Habit,https://www.the-numbers.com/movie/Sister-Act-2-Back-in-the-Habit#tab=summary
Tombstone,https://www.the-numbers.com/movie/Tombstone#tab=summary
The Beverly Hillbillies,https://www.the-numbers.com/movie/Beverly-Hillbillies-The#tab=summary
The Three Musketeers,https://www.the-numbers.com/movie/Three-Musketeers-The-(1993)#tab=summary
Rookie of the Year,https://www.the-numbers.com/movie/Rookie-of-the-Year#tab=summary
Beethoven's 2nd,https://www.the-numbers.com/movie/Beethovens-2nd#tab=summary
Nowhere to Run,https://www.the-numbers.com/movie/Nowhere-to-Run#tab=summary
Wayne's World 2,https://www.the-numbers.com/movie/Waynes-World-2#tab=summary
Fortress,https://www.the-numbers.com/movie/Fortress#tab=summary
Addams Family Values,https://www.the-numbers.com/movie/Addams-Family-Values#tab=summary
Malice,https://www.the-numbers.com/movie/Malice#tab=summary
The Good Son,https://www.the-numbers.com/movie/Good-Son-The#tab=summary
Teenage Mutant Ninja Turtles III,https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-III#tab=summary
Homeward Bound: The Incredible Journey,https://www.the-numbers.com/movie/Homeward-Bound-The-Incredible-Journey#tab=summary
Falling Down,https://www.the-numbers.com/movie/Falling-Down#tab=summary
The Piano,https://www.the-numbers.com/movie/Piano-The#tab=summary
Hocus Pocus,https://www.the-numbers.com/movie/Hocus-Pocus#tab=summary
What's Love Got to Do With It,https://www.the-numbers.com/movie/Whats-Love-Got-to-Do-With-It#tab=summary
Carlito's Way,https://www.the-numbers.com/movie/Carlitos-Way#tab=summary
Alive,https://www.the-numbers.com/movie/Alive#tab=summary
Robin Hood: Men in Tights,https://www.the-numbers.com/movie/Robin-Hood-Men-in-Tights#tab=summary
Dragon: The Bruce Lee Story,https://www.the-numbers.com/movie/Dragon-The-Bruce-Lee-Story#tab=summary
The Joy Luck Club,https://www.the-numbers.com/movie/Joy-Luck-Club-The#tab=summary
The Sandlot,https://www.the-numbers.com/movie/Sandlot-The#tab=summary
The Age of Innocence,https://www.the-numbers.com/movie/Age-of-Innocence-The#tab=summary
Hard Target,https://www.the-numbers.com/movie/Hard-Target#tab=summary
Cop and ½,https://www.the-numbers.com/movie/Cop-and-a-Half#tab=summary
The Secret Garden,https://www.the-numbers.com/movie/Secret-Garden-The#tab=summary
A Perfect World,https://www.the-numbers.com/movie/Perfect-World-A#tab=summary
Point of No Return,https://www.the-numbers.com/movie/Point-of-No-Return#tab=summary
Loaded Weapon 1,https://www.the-numbers.com/movie/Loaded-Weapon-1#tab=summary
Menace II Society,https://www.the-numbers.com/movie/Menace-II-Society#tab=summary
My Life,https://www.the-numbers.com/movie/My-Life#tab=summary
Poetic Justice,https://www.the-numbers.com/movie/Poetic-Justice#tab=summary
Son in Law,https://www.the-numbers.com/movie/Son-in-Law#tab=summary
Shadowlands,https://www.the-numbers.com/movie/Shadowlands#tab=summary
In the Name of the Father,https://www.the-numbers.com/movie/In-the-Name-of-the-Father#tab=summary
The Man Without a Face,https://www.the-numbers.com/movie/Man-Without-a-Face-The#tab=summary
The Adventures of Huck Finn,https://www.the-numbers.com/movie/Adventures-of-Huck-Finn-The#tab=summary
Striking Distance,https://www.the-numbers.com/movie/Striking-Distance#tab=summary
Benny & Joon,https://www.the-numbers.com/movie/Benny-and-Joon#tab=summary
The Program,https://www.the-numbers.com/movie/Program-The#tab=summary
Rudy,https://www.the-numbers.com/movie/Rudy#tab=summary
Guilty as Sin,https://www.the-numbers.com/movie/Guilty-as-Sin#tab=summary
Much Ado About Nothing,https://www.the-numbers.com/movie/Much-Ado-About-Nothing-(1993)#tab=summary
