name,link
Back to the Future,https://www.the-numbers.com/movie/Back-to-the-Future#tab=summary
Rambo: First Blood Part II,https://www.the-numbers.com/movie/Rambo-First-Blood-Part-II#tab=summary
Rocky IV,https://www.the-numbers.com/movie/Rocky-IV#tab=summary
Out of Africa,https://www.the-numbers.com/movie/Out-of-Africa#tab=summary
A View to a Kill,https://www.the-numbers.com/movie/View-to-a-Kill-A#tab=summary
The Color Purple,https://www.the-numbers.com/movie/Color-Purple-The#tab=summary
Cocoon,https://www.the-numbers.com/movie/Cocoon#tab=summary
The Dream is Alive,https://www.the-numbers.com/movie/Dream-is-Alive-The#tab=summary
The Jewel of the Nile,https://www.the-numbers.com/movie/Jewel-of-the-Nile-The#tab=summary
Witness,https://www.the-numbers.com/movie/Witness#tab=summary
The Goonies,https://www.the-numbers.com/movie/Goonies-The-(1985)#tab=summary
Spies Like Us,https://www.the-numbers.com/movie/Spies-Like-Us#tab=summary
Police Academy 2: Their First Assignment,https://www.the-numbers.com/movie/Police-Academy-2-Their-First-Assignment#tab=summary
National Lampoon's European Vacation,https://www.the-numbers.com/movie/National-Lampoons-European-Vacation#tab=summary
Fletch,https://www.the-numbers.com/movie/Fletch#tab=summary
The Breakfast Club,https://www.the-numbers.com/movie/Breakfast-Club-The#tab=summary
Brewster's Millions,https://www.the-numbers.com/movie/Brewsters-Millions#tab=summary
Mask,https://www.the-numbers.com/movie/Mask-(1985)#tab=summary
White Nights,https://www.the-numbers.com/movie/White-Nights#tab=summary
Pale Rider,https://www.the-numbers.com/movie/Pale-Rider#tab=summary
Pee Wee's Big Adventure,https://www.the-numbers.com/movie/Pee-Wees-Big-Adventure#tab=summary
Jagged Edge,https://www.the-numbers.com/movie/Jagged-Edge#tab=summary
St. Elmoâs Fire,https://www.the-numbers.com/movie/St-Elmos-Fire#tab=summary
Mad Max Beyond Thunderdome,https://www.the-numbers.com/movie/Mad-Max-Beyond-Thunderdome#tab=summary
Commando,https://www.the-numbers.com/movie/Commando#tab=summary
Day of the Dead,https://www.the-numbers.com/movie/Day-of-the-Dead#tab=summary
Silverado,https://www.the-numbers.com/movie/Silverado#tab=summary
Teen Wolf,https://www.the-numbers.com/movie/Teen-Wolf#tab=summary
The Last Dragon,https://www.the-numbers.com/movie/Last-Dragon-The#tab=summary
Murphy's Romance,https://www.the-numbers.com/movie/Murphys-Romance#tab=summary
Desperately Seeking Susan,https://www.the-numbers.com/movie/Desperately-Seeking-Susan#tab=summary
Prizzi's Honor,https://www.the-numbers.com/movie/Prizzis-Honor#tab=summary
Agnes of God,https://www.the-numbers.com/movie/Agnes-of-God#tab=summary
Fright Night,https://www.the-numbers.com/movie/Fright-Night-(1985)#tab=summary
Summer Rental,https://www.the-numbers.com/movie/Summer-Rental#tab=summary
The Emerald Forest,https://www.the-numbers.com/movie/Emerald-Forest-The#tab=summary
Santa Claus,https://www.the-numbers.com/movie/Santa-Claus#tab=summary
The Care Bears Movie,https://www.the-numbers.com/movie/Care-Bears-Movie-The#tab=summary
Friday the 13th Part V: A New Beginning,https://www.the-numbers.com/movie/Friday-the-13th-Part-V-A-New-Beginning#tab=summary
The Black Cauldron,https://www.the-numbers.com/movie/Black-Cauldron-The#tab=summary
A Nightmare on Elm Street Part 2: Freddy's Revenge,https://www.the-numbers.com/movie/Nightmare-on-Elm-Street-Part-2-Freddys-Revenge-A#tab=summary
Porky's Revenge,https://www.the-numbers.com/movie/Porkys-Revenge#tab=summary
Code of Silence,https://www.the-numbers.com/movie/Code-of-Silence#tab=summary
Volunteers,https://www.the-numbers.com/movie/Volunteers#tab=summary
Young Sherlock Holmes,https://www.the-numbers.com/movie/Young-Sherlock-Holmes#tab=summary
Year of the Dragon,https://www.the-numbers.com/movie/Year-of-the-Dragon#tab=summary
Ladyhawke,https://www.the-numbers.com/movie/Ladyhawke#tab=summary
The Sure Thing,https://www.the-numbers.com/movie/Sure-Thing-The#tab=summary
Invasion U.S.A.,https://www.the-numbers.com/movie/Invasion-USA-(1985)#tab=summary
To Live and Die in L.A.,https://www.the-numbers.com/movie/To-Live-and-Die-in-L-A#tab=summary
The Falcon and the Snowman,https://www.the-numbers.com/movie/Falcon-and-the-Snowman-The#tab=summary
Weird Science,https://www.the-numbers.com/movie/Weird-Science#tab=summary
Death Wish 3,https://www.the-numbers.com/movie/Death-Wish-3#tab=summary
King Solomon's Mines,https://www.the-numbers.com/movie/King-Solomons-Mines#tab=summary
Kiss of the Spider Woman,https://www.the-numbers.com/movie/Kiss-of-the-Spider-Woman#tab=summary
Remo Williams: The Adventure Begins,https://www.the-numbers.com/movie/Remo-Williams-The-Adventure-Begins#tab=summary
Baby: Secret of the Lost Legend,https://www.the-numbers.com/movie/Baby-Secret-of-the-Lost-Legend#tab=summary
The Return of the Living Dead,https://www.the-numbers.com/movie/Return-of-the-Living-Dead-The#tab=summary
A Chorus Line,https://www.the-numbers.com/movie/Chorus-Line-A#tab=summary
Tomboy,https://www.the-numbers.com/movie/Tomboy-(1985)#tab=summary
Sesame Street Presents Follow That Bird,https://www.the-numbers.com/movie/Sesame-Street-Presents-Follow-That-Bird#tab=summary
Clue,https://www.the-numbers.com/movie/Clue#tab=summary
One Magic Christmas,https://www.the-numbers.com/movie/One-Magic-Christmas#tab=summary
Vision Quest,https://www.the-numbers.com/movie/Vision-Quest#tab=summary
Real Genius,https://www.the-numbers.com/movie/Real-Genius#tab=summary
Perfect,https://www.the-numbers.com/movie/Perfect#tab=summary
Enemy Mine,https://www.the-numbers.com/movie/Enemy-Mine#tab=summary
Lifeforce,https://www.the-numbers.com/movie/Lifeforce#tab=summary
Just One of the Guys,https://www.the-numbers.com/movie/Just-One-of-the-Guys#tab=summary
Krush Groove,https://www.the-numbers.com/movie/Krush-Groove#tab=summary
Silver Bullet,https://www.the-numbers.com/movie/Silver-Bullet#tab=summary
Missing in Action 2: The Beginning,https://www.the-numbers.com/movie/Missing-in-Action-2-The-Beginning#tab=summary
The Purple Rose of Cairo,https://www.the-numbers.com/movie/Purple-Rose-of-Cairo-The#tab=summary
Return to Oz,https://www.the-numbers.com/movie/Return-to-Oz#tab=summary
After Hours,https://www.the-numbers.com/movie/After-Hours#tab=summary
Compromising Positions,https://www.the-numbers.com/movie/Compromising-Positions#tab=summary
Moving Violations,https://www.the-numbers.com/movie/Moving-Violations#tab=summary
American Ninja,https://www.the-numbers.com/movie/American-Ninja#tab=summary
Better Off Dead...,https://www.the-numbers.com/movie/Better-Off-Dead#tab=summary
Lost in America,https://www.the-numbers.com/movie/Lost-in-America#tab=summary
