name,link
Raiders of the Lost Ark,https://www.the-numbers.com/movie/Raiders-of-the-Lost-Ark#tab=summary
For Your Eyes Only,https://www.the-numbers.com/movie/For-Your-Eyes-Only#tab=summary
Superman II,https://www.the-numbers.com/movie/Superman-II#tab=summary
On Golden Pond,https://www.the-numbers.com/movie/On-Golden-Pond#tab=summary
Stripes,https://www.the-numbers.com/movie/Stripes#tab=summary
Arthur,https://www.the-numbers.com/movie/Arthur-(1981)#tab=summary
"Fort Apache, The Bronx",https://www.the-numbers.com/movie/Fort-Apache-The-Bronx#tab=summary
An American Werewolf in London,https://www.the-numbers.com/movie/American-Werewolf-in-London-An#tab=summary
Chariots of Fire,https://www.the-numbers.com/movie/Chariots-of-Fire#tab=summary
The Cannonball Run,https://www.the-numbers.com/movie/Cannonball-Run-The#tab=summary
Reds,https://www.the-numbers.com/movie/Reds#tab=summary
Clash of the Titans,https://www.the-numbers.com/movie/Clash-of-the-Titans-(1981)#tab=summary
The Postman Always Rings Twice,https://www.the-numbers.com/movie/Postman-Always-Rings-Twice-The#tab=summary
The Fox and the Hound,https://www.the-numbers.com/movie/Fox-and-the-Hound-The#tab=summary
The Four Seasons,https://www.the-numbers.com/movie/Four-Seasons-The#tab=summary
Time Bandits,https://www.the-numbers.com/movie/Time-Bandits#tab=summary
Cheech & Chong's Nice Dreams,https://www.the-numbers.com/movie/Cheech-and-Chongs-Nice-Dreams#tab=summary
"Tarzan, The Ape Man",https://www.the-numbers.com/movie/Tarzan-The-Ape-Man#tab=summary
Taps,https://www.the-numbers.com/movie/Taps#tab=summary
Excalibur,https://www.the-numbers.com/movie/Excalibur#tab=summary
Absence of Malice,https://www.the-numbers.com/movie/Absence-of-Malice#tab=summary
Endless Love,https://www.the-numbers.com/movie/Endless-Love-(1981)#tab=summary
Sharky's Machine,https://www.the-numbers.com/movie/Sharkys-Machine#tab=summary
History of the World: Part I,https://www.the-numbers.com/movie/History-of-the-World-Part-I#tab=summary
Bustin' Loose,https://www.the-numbers.com/movie/Bustin-Loose#tab=summary
The Great Muppet Caper,https://www.the-numbers.com/movie/Great-Muppet-Caper-The#tab=summary
Neighbors,https://www.the-numbers.com/movie/Neighbors-(1981)#tab=summary
Victory,https://www.the-numbers.com/movie/Victory#tab=summary
The Jazz Singer,https://www.the-numbers.com/movie/Jazz-Singer-The-(1981)#tab=summary
Only When I Laugh,https://www.the-numbers.com/movie/Only-When-I-Laugh#tab=summary
Halloween II,https://www.the-numbers.com/movie/Halloween-II#tab=summary
Escape from New York,https://www.the-numbers.com/movie/Escape-from-New-York-(1981)#tab=summary
Mommie Dearest,https://www.the-numbers.com/movie/Mommie-Dearest#tab=summary
Modern Problems,https://www.the-numbers.com/movie/Modern-Problems#tab=summary
Body Heat,https://www.the-numbers.com/movie/Body-Heat#tab=summary
Graduation Day,https://www.the-numbers.com/movie/Graduation-Day#tab=summary
The French Lieutenant's Woman,https://www.the-numbers.com/movie/French-Lieutenants-Woman-The#tab=summary
Friday the 13th Part 2,https://www.the-numbers.com/movie/Friday-the-13th-Part-2#tab=summary
The Final Conflict,https://www.the-numbers.com/movie/Final-Conflict-The#tab=summary
The Incredible Shrinking Woman,https://www.the-numbers.com/movie/Incredible-Shrinking-Woman-The#tab=summary
Outland,https://www.the-numbers.com/movie/Outland#tab=summary
Nighthawks,https://www.the-numbers.com/movie/Nighthawks#tab=summary
Heavy Metal,https://www.the-numbers.com/movie/Heavy-Metal-(1981)#tab=summary
Paternity,https://www.the-numbers.com/movie/Paternity#tab=summary
Under the Rainbow,https://www.the-numbers.com/movie/Under-the-Rainbow#tab=summary
Private Lessons,https://www.the-numbers.com/movie/Private-Lessons#tab=summary
The Private Eyes,https://www.the-numbers.com/movie/Private-Eyes-The#tab=summary
The Howling,https://www.the-numbers.com/movie/Howling-The#tab=summary
Eye of the Needle,https://www.the-numbers.com/movie/Eye-of-the-Needle#tab=summary
Take This Job and Shove It,https://www.the-numbers.com/movie/Take-This-Job-and-Shove-It#tab=summary
Ragtime,https://www.the-numbers.com/movie/Ragtime#tab=summary
Ghost Story,https://www.the-numbers.com/movie/Ghost-Story#tab=summary
The Devil and Max Devlin,https://www.the-numbers.com/movie/Devil-and-Max-Devlin-The#tab=summary
Caveman,https://www.the-numbers.com/movie/Caveman#tab=summary
Continental Divide,https://www.the-numbers.com/movie/Continental-Divide#tab=summary
S.O.B.,https://www.the-numbers.com/movie/S-O-B#tab=summary
Scanners,https://www.the-numbers.com/movie/Scanners#tab=summary
The Night the Lights Went Out in Georgia,https://www.the-numbers.com/movie/Night-the-Lights-Went-Out-in-Georgia-The#tab=summary
Blow Out,https://www.the-numbers.com/movie/Blow-Out#tab=summary
The Legend of the Lone Ranger,https://www.the-numbers.com/movie/Legend-of-the-Lone-Ranger-The#tab=summary
On the Right Track,https://www.the-numbers.com/movie/On-the-Right-Track#tab=summary
Rich and Famous,https://www.the-numbers.com/movie/Rich-and-Famous#tab=summary
True Confessions,https://www.the-numbers.com/movie/True-Confessions#tab=summary
First Monday in October,https://www.the-numbers.com/movie/First-Monday-in-October#tab=summary
Back Roads,https://www.the-numbers.com/movie/Back-Roads#tab=summary
Sphinx,https://www.the-numbers.com/movie/Sphinx#tab=summary
Raggedy Man,https://www.the-numbers.com/movie/Raggedy-Man#tab=summary
Wolfen,https://www.the-numbers.com/movie/Wolfen#tab=summary
Happy Birthday To Me,https://www.the-numbers.com/movie/Happy-Birthday-To-Me#tab=summary
Rollover,https://www.the-numbers.com/movie/Rollover#tab=summary
